iata,airport,state,country,latitude,longitude
AUH,Abu Dhabi,Abu Dhabi,United Arab Emirates,24.466667,54.36666700000001
IXA,Agartala,Tripura,India,23.831457,91.28677770000002
QGG,Ahmedabad,Gujarat,India,23.022505,72.57136209999999
AJL,Aizawl,Mizoram,India,23.727107,92.7176389
ATQ,Amritsar,Punjab,India,31.6339793,74.87226420000002
AMS,Amsterdam,The Netherlands,,52.3702157,4.895167899999933
IXU,Aurangabad,Maharashtra,India,19.8761653,75.3433139
AUS,Austin,TX,USA,30.267153,-97.74306079999997
IXB,Bagdogra,West Bengal,India,26.6995298,88.31889150000006
BAH,Bahrain,,,26.0667,50.55770000000007
BKK,Bangkok,,Thailand,13.7278956,100.52412349999997
BCN,Barcelona,Barcelona,Spain,41.3850639,2.1734035
BLR,Bengaluru,Karnataka,India,12.9715987,77.5945627
TXL,Berlin Tegel,Berlin,Germany,52.583333,13.283333
BHU,Bhavnagar,Gujarat,India,21.7644725,72.1519304
BHO,Bhopal,Madhya Pradesh,India,23.2599333,77.412615
BHJ,Bhuj,Gujarat,India,23.2419997,69.6669324
BHM,Birmingham,AL,USA,33.5206608,-86.80249
BLQ,Bologna,,Italy,44.494887,11.3426163
BNE,Brisbane,,Australia,-27.4710107,153.0234489
BRS,Bristol,City of Bristol,UK,51.454513,-2.58791
BRU,Brussels,,Belgium,50.8503396,4.3517103
YYC,Calgary,AB,Canada,51.0453246,-114.0581012
CPT,Cape town,,South Africa,-33.9248685,18.4240553
IXC,Chandigarh,Chandigarh,India,30.7333148,76.7794179
CHS,Charleston,SC,USA,32.7764749,-79.9310512
MAA,Chennai,Tamil Nadu,India,13.0597049,80.2252278
ORD,Chicago,IL,USA,41.8781136,-87.6297982
CVG,Cincinnati,OH,USA,39.1031182,-84.5120196
CLE,Cleveland,OH,USA,41.49932,-81.6943605
CJB,Coimbatore,Tamil Nadu,India,11.0168445,76.9558321
CMB,Colombo,,Sri Lanka,6.9270786,79.861243
CMH,Columbus,OH,USA,39.9611755,-82.9987942
CPH,Copenhagen,,Denmark,55.4,12.34
DMM,Dammam Sabtco Bus Station,Dammam,Saudi Arabia,26.4515299,50.1070569
DMS,Dammam,Dammam,Saudi Arabia,26.3926665,49.9777136
DAY,Dayton,OH,USA,39.7589478,-84.1916069
DED,Dehradun,Uttarakhand,India,30.3164945,78.0321918
DEL,Delhi,Delhi,India,28.38,77.13
DAC,Dhaka,,Bangladesh,23.810332,90.4125181
DIB,Dibrugarh,Assam,India,27.4728327,94.9119621
DIU,Diu,,India,20.7100,70.9800
DIU,Doha,,Qatar,25.286667,51.533333
DXB,Dubai,,United Arab Emirates,25.0476643,55.1817407
DUB,Dublin,,Ireland,53.3498053,-6.2603097
DUR,Durban,,South Africa,-29.8586804,31.0218404
DUS,Dusseldorf,,Germany,51.2277411,6.7734556
YEG,Edmonton,AB,Canada,53.544389,-113.4909267
FLR,Florence,,Italy,43.7710332,11.2480006
FRA,Frankfurt,,Germany,50.1109221,8.6821267
GVA,Geneva,,Switzerland,46.1983922,6.1422961
GOI,Goa,,India,15.2993265,74.123996
GOP,Gorakhpur,Uttar Pradesh,India,26.7605545,83.3731675
GSO,Greensboro/High Point,NC,USA,36.4,79.47
GAU,Guwahati,Assam,India,26.1445169,91.7362365
HAM,Hamburg,,Germany,53.5510846,9.99368179999999
HAN,Hanoi,Hoàn Kiếm District Hanoi,Vietnam,21.033333,105.85000000000002
BDL,Hartford,CT,USA,41.76371109999999,-72.68509319999998
SGN,Ho chi minh,Ho Chi Minh,Vietnam,10.8230989,106.6296638
HKG,Hong Kong,,,22.396428,114.10949700000003
HYD,Hyderabad,Telangana,India,17.385044,78.486671
IMF,Imphal,Manipur,India,24.82,93.95000000000005
IND,Indianapolis,IN,USA,39.768403,-86.15806800000001
IDR,Indore,Madhya Pradesh,India,22.7195687,75.85772580000003
JAI,Jaipur,Rajasthan,India,26.9124336,75.78727090000007
CGK,Jakarta,Jakarta,Indonesia,-6.1275118,106.65368590000003
IXJ,Jammu,,,32.7266016,74.85702590000005
JED,Jeddah,,Saudi Arabia,21.543333,39.172777999999994
JDH,Jodhpur,Rajasthan,India,26.2389469,73.02430939999999
JNB,Johannesburg,,South Africa,-26.2041028,28.047305100000017
JRH,Jorhat,Assam,India,26.75,94.22000000000003
MCI,Kansas City,MO,USA,39.0997265,-94.57856670000001
KTM,Kathmandu,,Nepal,27.7,85.33333300000004
HJR,Khajuraho,Madhya Pradesh 471606,India,24.8318452,79.91985490000002
COK,Kochi,Kerala,India,9.9312328,76.26730410000005
CCU,Kolkata,West Bengal,India,22.572646,88.36389499999996
CCJ,Kozhikode,Kerala,India,11.2587531,75.78041000000007
KUL,Kuala Lumpur,Federal Territory of Kuala Lumpur,Malaysia,3.139003,101.68685499999992
KWI,Kuwait,,Kuwait,29.31166,47.48176599999999
LAS,Las Vegas,NV,USA,36.1699412,-115.13982959999998
IXL,Leh,,,194101,34.1525864,77.57705349999992
LHR,London,,UK,51.5073509,-0.12775829999998223
LAX,Los Angeles,CA,USA,34.0522342,-118.2436849
LKO,Lucknow,Uttar Pradesh,India,26.8465108,80.94668320000005
LYS,Lyon,,France,45.764043,4.835658999999964
MAD,Madrid,Madrid,Spain,40.4167754,-3.7037901999999576
IXM,Madurai,Tamil Nadu,India,9.9252007,78.11977539999998
MAN,Manchester,,UK,53.4807593,-2.2426305000000184
IXE,Mangalore,Karnataka,India,12.9141417,74.85595680000006
MRS,Marseille,,France,43.296482,5.369779999999992
MEL,Melbourne,,Australia,-37.814107,144.96327999999994
MXP,Milan,,Italy,45.4654219,9.18592430000001
MSP,Minneapolis,MN,USA,44.983334,-93.26666999999998
YUL,Montreal,QC,Canada,45.5086699,-73.55399249999999
BOM,Mumbai,Maharashtra,India,19.0759837,72.87765590000004
MUC,Munich,,Germany,48.1351253,11.581980599999952
MCT,Muscat,,Oman,23.61,58.539999999999964
NAG,Nagpur,Maharashtra,India,21.1458004,79.08815460000005
NBO,Nairobi,,Kenya,-1.2920659,36.82194619999996
NAP,Naples,FL,USA,26.1420358,-81.7948103
MSY,New Orleans,LA,USA,29.95106579999999,-90.0715323
JFK,New York,NY,USA,40.7127837,-74.00594130000002
EWR,Newark,NJ,USA,40.735657,-74.1723667
NCL,Newcastle,Tyne and Wear,UK,54.978252,-1.6177800000000389
NCE,Nice,,France,43.7101728,7.261953199999994,
OKC,Oklahoma City,OK,USA,35.4675602,-97.51642759999999
KIX,Osaka Kansai,Osaka Prefecture,Japan,34.41,135.30
OSL,Oslo,,Norway,59.9138688,10.752245399999993
YOW,Ottawa,ON,Canada,45.4215296,-75.69719309999999
XPG,Paris Nord,,France,48.856614,2.3522219000000177
CDG,Paris Charles de Gaulle,Roissy-en-France,France,49.0,2.32
PAT,Patna,Bihar,India,25.611,85.144
PHX,Phoenix,AZ,USA,33.4483771,-112.07403729999999
PIT,Pittsburgh,PA,USA,40.44062479999999,-79.99588640000002
PBD,Porbandar,Gujarat,India,21.6417069,69.62926540000001
IXZ,Port Blair,Andaman and Nicobar Islands,India,11.6233774,92.72648279999999
PDX,Portland,OR,USA,45.5234515,-122.6762071
PRG,Prague,,Czech Republic,50.0755381,14.43780049999998
PNQ,Pune,Maharashtra,India,18.5204303,73.85674369999992
RPR,Raipur,Chhattisgarh,India,21.2513844,81.6296413
RJA,Rajahmundry,Andhra Pradesh,India,17.0005383,81.80403449999994
RAJ,Rajkot,Gujarat,India,22.3038945,70.80215989999999
RDU,Raleigh Durham,NC,USA,35.7795897,-78.63817870000003
IXR,Ranchi,Jharkhand,India,23.3440997,85.30956200000003
RIC,Richmond,VA,USA,37.5407246,-77.4360481
RUH,Riyadh,,Saudi Arabia,24.633333,46.71666700000003
FCO,Rome,Fiumicino,Italy,41.8723889,12.48018019999995
SMF,Sacramento,CA,USA,38.5815719,-121.49439960000001
SAT,San Antonio,TX,USA,29.4241219,-98.49362819999999
SAN,San Diego,CA,USA,32.715738,-117.16108380000003
SFO,San Francisco,CA,USA,37.7749295,-122.41941550000001
SHJ,Sharjah,Sharjah,United Arab Emirates,25.3575,55.39083299999993
IXS,Silchar,Assam,India,24.82,92.79999999999995
SIN,Singapore,,,1.352083,103.81983600000001
SXR,Srinagar,,,34.0836581,74.79736809999997
STL,St Louis,MO,USA,38.6270025,-90.1994042
ARN,Stockholm Arlanda,Stockholm-Arlanda,Sweden,59.6497622,17.923780699999952
STR,Stuttgart,,Germany,48.7754181,9.181758800000011
SYD,Sydney,,Australia,-33.8674869,151.20699020000006
TPA,Tampa,FL,USA,27.950575,-82.45717760000002
TRV,Thiruvananthapuram,Kerala,India,8.5241391,76.93663760000004
TRZ,Tiruchirapally,Tamil Nadu,India,10.7904833,78.70467250000002
TYO,Tokyo,Narita,Japan,35.6894875,139.69170639999993
YYZ,Toronto,ON,Canada,43.653226,-79.38318429999998
TLS,Toulouse,,France,43.604652,1.4442090000000007
TUS,Tucson,AZ,USA,32.2217429,-110.92647899999997
TRN,Turin,,Italy,45.070312,7.686856499999976
UDR,Udaipur,Rajasthan,India,24.58,73.68000000000006
BDQ,Vadodara,Gujarat,India,22.3071588,73.18121870000004
YVR,Vancouver,BC,Canada,49.261226,-123.1139268
VNS,Varanasi,Uttar Pradesh,India,25.3176452,82.97391440000001
VCE,Venice,,Italy,45.4408474,12.31551509999997
VIE,Vienna,,Austria,48.2081743,16.37381890000006
IAD,Washington Dulles,VA,USA,38.9531162,-77.45653879999998
ZRH,Zurich,,Switzerland,47.3686498,8.539182500000038
